541,236,693,230,694,267,542,273
574,342,653,340,654,362,575,365
376,238,530,240,530,283,375,281
571,320,650,321,650,343,571,342
584,362,637,360,637,376,585,378
781,268,811,269,811,282,781,282
751,282,782,283,782,296,751,294
578,258,685,255,686,283,579,285
751,255,779,257,778,271,750,268
809,246,834,246,834,258,809,257
855,259,879,259,879,271,854,270
838,284,873,284,873,296,838,296
817,257,844,258,844,271,817,270
757,293,792,295,792,308,757,306
776,283,803,284,802,297,775,295
810,295,829,295,829,306,811,307
793,295,814,295,814,307,793,307
805,284,831,284,831,296,805,296
782,246,807,246,807,258,782,258
813,268,844,268,844,281,813,282
