1078,345,1143,340,1145,366,1079,370
1094,412,1169,408,1170,436,1095,440
1107,372,1178,367,1179,391,1109,395
1021,351,1082,346,1083,368,1022,373
1091,448,1145,449,1144,467,1091,466
1059,463,1113,466,1113,483,1058,480
1030,375,1074,373,1075,390,1031,393
1072,376,1109,374,1110,392,1073,393
1008,446,1062,445,1062,461,1008,461
1105,464,1146,465,1145,484,1105,482
1137,448,1179,447,1179,465,1138,466
996,380,1032,376,1033,394,998,398
1055,412,1085,412,1085,432,1055,431
1177,448,1201,449,1200,468,1176,467
