565,59,793,97,784,158,557,120
296,-3,465,29,450,118,281,86
1029,209,1118,203,1119,218,1030,225
1019,355,1068,357,1068,373,1019,371
1003,241,1059,239,1059,253,1004,256
1022,197,1087,192,1088,206,1022,211
1061,311,1114,311,1115,326,1061,327
1008,384,1063,388,1063,403,1007,399
1008,312,1060,311,1060,327,1008,327
1006,228,1047,225,1048,238,1007,241
1015,182,1058,180,1059,193,1015,196
992,186,1019,183,1020,197,993,199
994,215,1017,213,1018,227,995,229
994,200,1018,199,1019,212,995,214
997,158,1025,155,1027,168,998,171
1010,212,1045,210,1045,224,1011,226
1005,371,1038,373,1038,387,1005,384
