1070,437,1277,503,1266,542,1059,477
756,277,932,289,926,387,750,375
1110,198,1281,183,1285,227,1114,243
952,407,1077,444,1068,479,943,442
984,170,1073,163,1075,197,986,203
784,533,907,611,886,648,764,571
1007,89,1102,64,1109,94,1014,119
744,34,848,-10,860,22,756,67
1006,53,1077,32,1084,59,1013,81
938,105,1008,91,1013,121,943,134
1020,331,1114,340,1111,373,1017,363
938,218,1014,213,1015,237,939,243
993,284,1085,294,1081,329,990,319
1016,206,1106,202,1107,235,1017,239
937,185,985,179,988,202,940,209
1164,297,1257,302,1256,338,1162,333
940,289,992,293,990,318,939,314
936,74,980,61,987,86,943,100
969,321,1026,332,1021,360,964,350
1075,164,1124,159,1127,190,1078,195
979,60,1014,49,1021,76,986,87
740,95,772,87,777,110,745,118
