232,88,348,99,345,140,229,130
90,184,179,188,178,208,90,204
94,119,200,123,199,163,93,158
96,75,184,81,182,124,93,118
92,372,188,363,190,385,94,395
130,472,216,456,219,476,133,492
92,254,172,253,173,273,93,275
293,366,372,354,375,375,295,386
92,337,169,331,171,351,94,358
163,295,230,292,231,313,164,316
211,126,322,135,320,169,209,160
119,220,192,221,192,239,119,238
96,447,155,438,157,457,99,466
93,302,139,301,140,319,94,320
280,399,341,392,343,409,282,417
93,411,141,406,143,424,95,430
254,325,354,322,355,343,255,347
162,329,236,323,238,345,163,351
100,528,150,519,153,537,103,546
98,494,138,487,141,504,100,511
180,261,223,260,223,280,180,281
154,439,191,432,194,449,157,456
92,222,142,223,142,240,91,239
148,403,195,397,197,416,151,422
98,482,134,477,136,493,100,499
337,393,373,386,375,401,339,407
317,132,358,133,357,170,316,169
255,405,283,403,284,419,256,422
