215,141,316,130,318,151,217,163
939,164,1000,161,1001,185,940,187
151,255,206,254,207,272,151,273
162,449,216,451,215,468,161,466
442,119,487,115,489,128,444,133
320,135,381,127,382,141,322,148
1003,139,1063,135,1063,147,1003,151
164,351,203,353,202,369,163,367
1008,124,1061,122,1061,134,1009,137
1211,91,1246,87,1247,100,1212,104
1015,112,1048,110,1049,123,1016,124
380,128,411,124,412,138,382,141
410,124,433,121,435,135,412,138
1012,151,1052,148,1052,159,1013,162
186,151,224,147,225,162,188,165
1242,87,1264,85,1265,98,1243,100
1187,91,1213,89,1214,103,1188,105
