584,258,635,265,632,291,581,284
562,147,622,145,623,173,563,175
586,239,631,243,630,263,585,259
662,201,694,203,693,217,661,215
554,171,622,173,621,201,553,199
738,206,767,204,767,218,738,220
735,147,765,143,767,157,736,161
482,159,532,159,531,199,481,199
722,166,746,165,747,178,722,180
647,152,687,150,687,164,647,166
684,185,712,185,712,198,684,198
703,148,736,145,737,159,704,162
653,168,679,168,679,181,653,181
698,204,738,204,738,218,698,218
593,286,623,290,621,305,591,301
692,167,714,166,715,179,692,180
648,184,674,184,674,197,648,198
