590,140,706,134,707,170,592,176
602,179,715,175,716,203,603,206
596,279,674,277,675,302,597,303
905,133,1004,73,1025,114,927,174
647,246,710,248,709,271,647,269
604,226,643,223,644,240,605,243
349,270,404,269,404,281,349,282
638,367,694,366,694,379,638,380
233,123,295,159,282,185,220,149
676,276,719,280,717,305,674,301
664,410,716,407,716,421,665,423
596,253,642,250,643,270,597,274
608,411,662,411,662,423,608,423
653,113,683,114,683,128,652,127
627,115,649,114,649,127,627,129
601,121,626,118,628,131,602,135
647,381,682,380,682,392,647,392
