53,3,163,51,150,84,40,36
753,94,839,55,854,92,768,132
215,269,278,267,279,282,216,285
267,203,334,201,334,216,267,218
826,55,876,36,890,75,840,95
983,155,1023,149,1031,205,991,211
268,225,336,223,336,240,268,242
276,242,337,240,337,256,276,258
279,282,317,281,317,297,280,297
222,284,278,283,278,299,222,300
299,184,343,184,343,199,299,198
219,245,258,244,259,258,220,260
211,188,250,185,251,201,212,204
262,308,309,306,310,323,263,326
228,227,265,226,266,242,228,243
254,185,300,185,300,201,254,201
221,204,251,203,252,218,222,219
208,311,263,310,263,326,208,327
92,276,135,273,136,287,93,291
91,312,123,306,127,328,94,333
296,263,334,264,333,278,296,278
144,303,173,299,176,322,147,326
118,306,150,302,153,325,121,330
