1030,356,1206,354,1206,404,1030,405
736,203,901,200,902,236,737,238
1031,404,1202,406,1202,433,1030,431
188,235,269,244,266,272,185,263
870,319,923,318,923,333,871,334
796,320,853,321,853,334,796,333
771,270,810,272,810,285,771,284
847,242,909,242,909,256,847,257
782,299,819,301,819,314,781,312
358,428,387,428,387,441,358,440
812,300,846,301,846,313,811,312
1020,163,1053,164,1053,177,1020,177
1041,178,1071,178,1071,190,1041,191
1020,180,1045,179,1045,190,1020,191
803,243,863,245,863,257,803,256
843,318,875,319,874,333,843,332
