991,201,1127,187,1130,223,994,237
1128,195,1233,179,1236,202,1131,217
991,257,1076,252,1077,269,992,275
938,207,991,203,993,236,941,240
1175,318,1239,319,1238,334,1175,333
1047,377,1112,379,1111,396,1047,393
1084,249,1146,246,1147,268,1085,271
996,373,1052,375,1052,392,995,390
1107,315,1163,315,1163,333,1107,332
1028,313,1075,314,1075,330,1027,329
1093,281,1137,282,1136,303,1093,303
1035,280,1091,281,1091,301,1034,300
1112,379,1148,380,1148,396,1111,394
1150,380,1184,381,1184,398,1150,397
1077,316,1110,316,1110,331,1077,331
993,313,1031,313,1031,328,993,329
1005,282,1038,281,1038,300,1005,300
