68,1067,270,1105,-0.11942891812997686
326,1047,466,1078,-0.12435500048780881
68,1012,209,1041,-0.11400727974993012
56,908,173,935,-0.1582403215062903
174,879,441,906,-0.1508910788068663
470,848,571,873,-0.16514869453200862
617,794,1037,828,-0.14932266001713498
1044,750,1152,783,-0.14888994627426766
-10,829,1635,859,-0.152918643213284
1239,714,1382,749,-0.2030452105277176
16,594,309,929,0.004464123777244196
1402,687,1549,726,-0.14189705117345297
1604,671,1670,701,-0.19270076048455267
633,611,814,644,-0.21336865488778453
544,590,776,621,-0.17985350493844554
778,561,851,591,-0.1184899624310208
338,501,1650,802,-0.1367557188205154
1005,545,1072,579,-0.18311081726772063
59,557,234,579,-0.21866894466828612
981,509,1111,543,-0.20401798005013924
1244,502,1316,535,-0.17985350493844554
627,527,1009,559,-0.1923592267195069
635,499,686,521,-0.20749621823659314
479,496,570,518,-0.22471119112848364
1336,481,1414,513,-0.1418970678182098
5,517,359,543,-0.22998444982392097
387,480,512,504,-0.1973955639464681
1165,471,1314,506,-0.21109333327620544
416,453,447,478,-0.2053954002554415
537,456,587,479,-0.24497867926182218
710,464,891,493,-0.2030452105277176
1442,451,1611,487,-0.18776194488775877
1005,444,1385,479,-0.19864400393122653
1417,408,1674,446,-0.2199142720835205
1050,381,1273,413,-0.21521896927890066
469,399,852,430,-0.22449735593770714
1435,370,1647,407,-0.18131977485561554
832,363,1062,395,-0.22756749797662015
682,421,1596,457,-0.21490351784778086
1324,317,1575,351,-0.22939239582408288
936,297,1213,330,-0.2430953916074595
1378,270,1628,304,-0.21866896131304295
1189,256,1581,292,-0.21799871024569742
