251,1131,331,1175,0.13944005204126012
96,1127,212,1162,0.11979404583780504
1027,1120,1087,1143,0.06656824144954931
1057,1098,1092,1116,0.0
95,1079,224,1120,0.17985352158320234
1015,1069,1092,1096,0.028563734271637657
101,1034,219,1077,0.110657139611909
1310,946,1478,981,0.01999727715123644
561,927,700,959,0.0
2,908,50,933,0.11710878051067881
1530,476,1649,550,0.0
261,419,372,605,0.02816159694703579
424,412,569,582,0.08852533884697458
735,423,826,527,-0.0
361,326,518,513,0.09772695988735954
1013,305,1089,425,-0.0
