1425,939,1512,969,0.04995837204683832
1298,937,1387,962,0.0
1209,934,1266,960,0.07982998472981356
1090,926,1175,956,0.08673835775553186
959,920,1052,949,0.08673835775553186
817,914,924,946,0.02563545549504177
689,908,787,940,0.10220666315698068
557,902,651,934,0.04758309867059724
462,899,529,926,0.04995837204683832
331,893,438,926,0.0
202,887,301,920,0.032246886059216315
116,884,166,914,-0.03446910049358893
178,814,234,879,0.09495167971538866
223,794,346,850,0.23441570020645947
382,422,1518,780,0.035279427592488775
1324,386,1353,417,0.10487701478200247
1365,379,1400,416,0.3587706757271331
378,321,497,372,-0.10598435716325713
905,312,953,391,0.0
1428,314,1509,339,0.09966867063813581
1101,297,1187,321,0.0416425183850135
967,289,1066,317,0.05258305045916525
136,277,246,333,0.2449785960380381
839,281,932,310,0.13255151956566288
715,276,805,301,0.06656824144954931
631,270,675,296,0.21866896131304295
493,262,591,290,0.10308177789118052
371,256,462,280,0.045423141868489024
236,246,332,275,0.04758309867059724
135,238,200,265,0.08314135922921725
